subject_id,split,tract,streamline_count
792766,trainset,CC_1,7371
792766,trainset,CST_left,7427
792766,trainset,OR_left,5465
792766,trainset,ST_OCC_left,18966
792766,trainset,ILF_left,1521
792766,trainset,FX_right,235
792766,trainset,T_PREM_left,2606
792766,trainset,ST_PREF_left,75503
792766,trainset,ILF_right,1394
792766,trainset,SLF_III_left,9458
792766,trainset,T_OCC_right,5692
792766,trainset,ST_POSTC_right,19385
792766,trainset,OR_right,3598
792766,trainset,ICP_left,3853
792766,trainset,T_OCC_left,9716
792766,trainset,SLF_II_left,11149
792766,trainset,T_PREC_left,24802
792766,trainset,ST_POSTC_left,28476
792766,trainset,AF_left,57861
792766,trainset,MLF_right,28680
792766,trainset,ST_PREC_left,42762
792766,trainset,SCP_right,1300
792766,trainset,UF_left,1885
792766,trainset,ST_PAR_left,70998
792766,trainset,T_PREF_right,38054
792766,trainset,STR_right,1752
792766,trainset,ST_FO_right,3987
792766,trainset,SLF_I_right,22415
792766,trainset,SCP_left,3805
792766,trainset,ST_PAR_right,45511
792766,trainset,IFO_right,11281
792766,trainset,CC,39892
792766,trainset,CC_2,41416
792766,trainset,T_PAR_right,14107
792766,trainset,CC_3,14956
792766,trainset,SLF_II_right,26679
792766,trainset,ATR_right,12219
792766,trainset,T_PREF_left,68281
792766,trainset,MLF_left,45685
792766,trainset,T_PREC_right,8230
792766,trainset,ST_PREC_right,41306
792766,trainset,CC_4,19496
792766,trainset,STR_left,1701
792766,trainset,SLF_I_left,15430
792766,trainset,CC_5,32566
792766,trainset,T_PAR_left,41372
792766,trainset,POPT_left,14273
792766,trainset,AF_right,64568
792766,trainset,CC_6,14793
792766,trainset,MCP,29931
792766,trainset,CG_right,41295
792766,trainset,CC_7,16595
792766,trainset,ST_PREM_left,2848
792766,trainset,CST_right,8175
792766,trainset,ST_FO_left,4377
792766,trainset,ST_PREF_right,84397
792766,trainset,UF_right,6508
792766,trainset,POPT_right,10070
792766,trainset,FX_left,471
792766,trainset,T_POSTC_right,2070
792766,trainset,FPT_left,16657
792766,trainset,SLF_III_right,6696
792766,trainset,ICP_right,3540
792766,trainset,CG_left,51442
792766,trainset,ATR_left,16780
792766,trainset,FPT_right,13138
792766,trainset,ST_PREM_right,1496
792766,trainset,T_POSTC_left,11726
792766,trainset,T_PREM_right,1656
792766,trainset,IFO_left,7039
792766,trainset,CA,1822
792766,trainset,ST_OCC_right,12168
887373,trainset,CC_1,5387
887373,trainset,CST_left,9627
887373,trainset,OR_left,4172
887373,trainset,ST_OCC_left,26771
887373,trainset,ILF_left,1038
887373,trainset,FX_right,77
887373,trainset,T_PREM_left,7601
887373,trainset,ST_PREF_left,115699
887373,trainset,ILF_right,9047
887373,trainset,SLF_III_left,10189
887373,trainset,T_OCC_right,5867
887373,trainset,ST_POSTC_right,15522
887373,trainset,OR_right,3031
887373,trainset,ICP_left,6803
887373,trainset,T_OCC_left,6535
887373,trainset,SLF_II_left,13018
887373,trainset,T_PREC_left,24245
